integer,datetime,category
3,2018-01-01 00:01:46,1
4,2018-01-01 00:01:47,1
5,2018-01-01 00:01:48,0
9,2018-01-01 00:01:49,0
9,2018-01-01 00:01:50,0
6,2018-01-01 00:01:51,1
3,2018-01-01 00:01:52,0
8,2018-01-01 00:01:53,1
6,2018-01-01 00:01:54,1
1,2018-01-01 00:01:55,1
9,2018-01-01 00:01:56,0
7,2018-01-01 00:01:57,0
3,2018-01-01 00:01:58,0
1,2018-01-01 00:01:59,1
6,2018-01-01 00:02:00,0
4,2018-01-01 00:02:01,0
3,2018-01-01 00:02:02,1
4,2018-01-01 00:02:03,0
7,2018-01-01 00:02:04,1
5,2018-01-01 00:02:05,1
2,2018-01-01 00:02:06,1
4,2018-01-01 00:02:07,0
2,2018-01-01 00:02:08,1
5,2018-01-01 00:02:09,1
9,2018-01-01 00:02:10,0
9,2018-01-01 00:02:11,0
3,2018-01-01 00:02:12,0
3,2018-01-01 00:02:13,0
8,2018-01-01 00:02:14,0
3,2018-01-01 00:02:15,1
2,2018-01-01 00:02:16,0
3,2018-01-01 00:02:17,1
8,2018-01-01 00:02:18,0
2,2018-01-01 00:02:19,1
1,2018-01-01 00:02:20,0
6,2018-01-01 00:02:21,0
4,2018-01-01 00:02:22,1
6,2018-01-01 00:02:23,1
3,2018-01-01 00:02:24,1
7,2018-01-01 00:02:25,1
2,2018-01-01 00:02:26,1
2,2018-01-01 00:02:27,0
6,2018-01-01 00:02:28,1
3,2018-01-01 00:02:29,1
6,2018-01-01 00:02:30,0
7,2018-01-01 00:02:31,0
5,2018-01-01 00:02:32,1
7,2018-01-01 00:02:33,1
8,2018-01-01 00:02:34,1
8,2018-01-01 00:02:35,0
4,2018-01-01 00:02:36,1
1,2018-01-01 00:02:37,1
3,2018-01-01 00:02:38,0
6,2018-01-01 00:02:39,1
2,2018-01-01 00:02:40,0
2,2018-01-01 00:02:41,0
1,2018-01-01 00:02:42,0
4,2018-01-01 00:02:43,1
7,2018-01-01 00:02:44,1
8,2018-01-01 00:02:45,1
4,2018-01-01 00:02:46,1
7,2018-01-01 00:02:47,0
5,2018-01-01 00:02:48,1
9,2018-01-01 00:02:49,1
7,2018-01-01 00:02:50,0
6,2018-01-01 00:02:51,1
1,2018-01-01 00:02:52,0
1,2018-01-01 00:02:53,0
6,2018-01-01 00:02:54,1
2,2018-01-01 00:02:55,0
4,2018-01-01 00:02:56,1
3,2018-01-01 00:02:57,1
4,2018-01-01 00:02:58,1
2,2018-01-01 00:02:59,0
1,2018-01-01 00:03:00,1
7,2018-01-01 00:03:01,1
6,2018-01-01 00:03:02,1
3,2018-01-01 00:03:03,0
1,2018-01-01 00:03:04,1
1,2018-01-01 00:03:05,1
2,2018-01-01 00:03:06,0
6,2018-01-01 00:03:07,0
3,2018-01-01 00:03:08,1
4,2018-01-01 00:03:09,0
7,2018-01-01 00:03:10,1
2,2018-01-01 00:03:11,1
5,2018-01-01 00:03:12,0
4,2018-01-01 00:03:13,0
2,2018-01-01 00:03:14,0
5,2018-01-01 00:03:15,0
5,2018-01-01 00:03:16,1
6,2018-01-01 00:03:17,0
7,2018-01-01 00:03:18,1
4,2018-01-01 00:03:19,1
